"pt_id","line_id","match_step","RouteName","RTENAME"
1,1,"step1_similar_name_1km","ST FLORIAN","ST FLORIAN"
2,2,"step1_similar_name_1km","HILLSBORO","HILLSBORO"
4,3,"step1_similar_name_1km","TRADE","TRADE"
5,4,"step1_similar_name_1km","SUMMITT","SUMMITT"
6,5,"step1_similar_name_1km","VALHERMOSO SPGS","VALHRMSA SPG"
7,6,"step1_similar_name_1km","SWAIM","SWAIM"
8,7,"step1_similar_name_1km","PINE GROVE","PINE GROVE"
9,8,"step1_similar_name_1km","DAWSON","DAWSON"
10,9,"step1_similar_name_1km","MILLERVILLE","MILLERVILLE"
11,10,"step1_similar_name_1km","DEARMANVILLE","DEARMANVILLE"
12,11,"step1_similar_name_1km","SUNNY EVE","SUNNY EVE"
13,12,"step1_similar_name_1km","GREENSPORT","GREENSPORT"
14,13,"step1_similar_name_1km","SMYER LAKE","SMYER LAKE"
15,14,"step1_similar_name_1km","MT OLIVE","MT OLIVE"
16,15,"step1_similar_name_1km","HOWARD","HOWARD"
17,16,"step1_similar_name_1km","MAYTOWN","MAYTOWN"
19,17,"step1_similar_name_1km","LIBERTY","LIBERTY"
20,18,"step1_similar_name_1km","RIDERWOOD","RIDERWOOD"
21,19,"step1_similar_name_1km","LINDEN","LINDEN"
22,20,"step1_similar_name_1km","HARRELL","HARRELL"
23,21,"step1_similar_name_1km","GREENSBORO","GREENSBORO"
24,22,"step1_similar_name_1km","SPRAGUE","SPRAGUE"
25,23,"step1_similar_name_1km","BILLINGSLEY","BILLINGSLEY"
26,24,"step1_similar_name_1km","WALLSBORO","WALLSBORO"
27,25,"step1_similar_name_1km","WARRIOR STD","WARRIOR STD"
28,26,"step1_similar_name_1km","LANETT","LANETT"
29,27,"step1_similar_name_1km","COTTONTON","COTTONTON"
30,28,"step1_similar_name_1km","NEWTON","NEWTON"
31,29,"step1_similar_name_1km","GRANGEBURG","GRANGEBURG"
32,30,"step1_similar_name_1km","BRUNDIDGE","BRUNDIDGE"
33,31,"step1_similar_name_1km","BRANTLEY","BRANTLEY"
34,32,"step1_similar_name_1km","SOUTH","SOUTH"
35,33,"step1_similar_name_1km","MCLELLAN","MCLELLAN"
36,34,"step1_similar_name_1km","BEATRICE","BEATRICE"
37,35,"step1_similar_name_1km","LATHAM","LATHAM"
38,36,"step1_similar_name_1km","CASTLEBERRY","CASTLEBERRY"
39,37,"step1_similar_name_1km","MILLRY","MILLRY"
40,38,"step1_similar_name_1km","DAUPHIN IS","DAUPHIN IS"
41,39,"step1_similar_name_1km","ALABAMA PT","ALABAMA PT"
42,40,"step1_similar_name_1km","FOLEY","FOLEY"
43,41,"step1_similar_name_1km","BLOCTON","BLOCTON"
44,42,"step1_similar_name_1km","BIRMINGHAM","BIRMINGHAM"
45,43,"step1_similar_name_1km","WHITEHOUSE","WHITEHOUSE"
46,44,"step1_similar_name_1km","GUNTERSVILLE","GUNTERSVILLE"
47,45,"step1_similar_name_1km","JENA","JENA"
48,46,"step1_similar_name_1km","EPES","EPES"
